file,title,pages,format,bytes,sha256_16
01_Explorers_K-1/Explorers_Capstone_Assessment_Sheet.pdf,Explorers (Grades K–1) — Capstone · Explorer's Show-and-Tell App — Assessment Sheet,2,Letter Landscape,68750,b9edc8c7784d97f9
01_Explorers_K-1/Explorers_Capstone_Quiz_Pack.pdf,Explorers (Grades K–1) — Capstone · Explorer's Show-and-Tell App — Quiz Pack,4,Letter Portrait,77955,ab36c1b9e830aa1a
01_Explorers_K-1/Explorers_Capstone_Student_Workbook.pdf,Explorers (Grades K–1) — Capstone · Explorer's Show-and-Tell App — Student Workbook,7,Letter Portrait,84277,707e26956d8f1fd6
01_Explorers_K-1/Explorers_Curriculum_Guide.pdf,Explorers (Grades K–1) — Curriculum Guide (Teacher Edition),11,Letter Portrait,198976,c1fa1a6005786036
01_Explorers_K-1/Explorers_S1_Assessment_Sheet.pdf,Explorers (Grades K–1) — Semester 1 · My Helpful Robot — Assessment Sheet,2,Letter Landscape,68851,d2fac8bc77787cb0
01_Explorers_K-1/Explorers_S1_Quiz_Pack.pdf,Explorers (Grades K–1) — Semester 1 · My Helpful Robot — Quiz Pack,4,Letter Portrait,78341,da1dc0bb15223374
01_Explorers_K-1/Explorers_S1_Student_Workbook.pdf,Explorers (Grades K–1) — Semester 1 · My Helpful Robot — Student Workbook,7,Letter Portrait,83361,5d1dc7192902d916
01_Explorers_K-1/Explorers_S2_Assessment_Sheet.pdf,Explorers (Grades K–1) — Semester 2 · Kindness Cards — Assessment Sheet,2,Letter Landscape,68632,8fb5c3357d9cb239
01_Explorers_K-1/Explorers_S2_Quiz_Pack.pdf,Explorers (Grades K–1) — Semester 2 · Kindness Cards — Quiz Pack,4,Letter Portrait,77691,dc2895e1da5683af
01_Explorers_K-1/Explorers_S2_Student_Workbook.pdf,Explorers (Grades K–1) — Semester 2 · Kindness Cards — Student Workbook,7,Letter Portrait,83919,80474b820d322007
01_Explorers_K-1/Explorers_S3_Assessment_Sheet.pdf,Explorers (Grades K–1) — Semester 3 · Recycling Sorter — Assessment Sheet,2,Letter Landscape,68950,480a2a99ce478a7d
01_Explorers_K-1/Explorers_S3_Quiz_Pack.pdf,Explorers (Grades K–1) — Semester 3 · Recycling Sorter — Quiz Pack,4,Letter Portrait,77760,934e616989cc68d6
01_Explorers_K-1/Explorers_S3_Student_Workbook.pdf,Explorers (Grades K–1) — Semester 3 · Recycling Sorter — Student Workbook,7,Letter Portrait,86896,9fcdceeab399b496
01_Explorers_K-1/Explorers_S4_Assessment_Sheet.pdf,Explorers (Grades K–1) — Semester 4 · My Neighbourhood Map — Assessment Sheet,2,Letter Landscape,68951,f8a3e187a2bf48ff
01_Explorers_K-1/Explorers_S4_Quiz_Pack.pdf,Explorers (Grades K–1) — Semester 4 · My Neighbourhood Map — Quiz Pack,4,Letter Portrait,78078,477be2cf2782f6b4
01_Explorers_K-1/Explorers_S4_Student_Workbook.pdf,Explorers (Grades K–1) — Semester 4 · My Neighbourhood Map — Student Workbook,7,Letter Portrait,82029,06094169e5cfe5de
02_Builders_Gr2-3/Builders_Capstone_Assessment_Sheet.pdf,Builders (Grades 2–3) — Capstone · Community Helper Website — Assessment Sheet,2,Letter Landscape,69027,d44843386cb6f5c9
02_Builders_Gr2-3/Builders_Capstone_Quiz_Pack.pdf,Builders (Grades 2–3) — Capstone · Community Helper Website — Quiz Pack,4,Letter Portrait,77829,67f7e82e8f3aa396
02_Builders_Gr2-3/Builders_Capstone_Student_Workbook.pdf,Builders (Grades 2–3) — Capstone · Community Helper Website — Student Workbook,7,Letter Portrait,83345,baa8486678c3c5d9
02_Builders_Gr2-3/Builders_Curriculum_Guide.pdf,Builders (Grades 2–3) — Curriculum Guide (Teacher Edition),14,Letter Portrait,121829,62ab3896533d1d7d
02_Builders_Gr2-3/Builders_S1_Assessment_Sheet.pdf,Builders (Grades 2–3) — Semester 1 · All About Me Page — Assessment Sheet,2,Letter Landscape,68769,447ada8fb8b4026a
02_Builders_Gr2-3/Builders_S1_Quiz_Pack.pdf,Builders (Grades 2–3) — Semester 1 · All About Me Page — Quiz Pack,4,Letter Portrait,78211,d28d3b46ae0acfa3
02_Builders_Gr2-3/Builders_S1_Student_Workbook.pdf,Builders (Grades 2–3) — Semester 1 · All About Me Page — Student Workbook,7,Letter Portrait,84994,c2c8a097cae32464
02_Builders_Gr2-3/Builders_S2_Assessment_Sheet.pdf,Builders (Grades 2–3) — Semester 2 · Weather Helper — Assessment Sheet,2,Letter Landscape,68963,5c0e73b5e632eaa5
02_Builders_Gr2-3/Builders_S2_Quiz_Pack.pdf,Builders (Grades 2–3) — Semester 2 · Weather Helper — Quiz Pack,4,Letter Portrait,77584,be603f78dcbbee9f
02_Builders_Gr2-3/Builders_S2_Student_Workbook.pdf,Builders (Grades 2–3) — Semester 2 · Weather Helper — Student Workbook,7,Letter Portrait,83420,da0f7bae3b98b16e
02_Builders_Gr2-3/Builders_S3_Assessment_Sheet.pdf,Builders (Grades 2–3) — Semester 3 · Class Pet Care Guide — Assessment Sheet,2,Letter Landscape,68735,f2380f702dee5aa5
02_Builders_Gr2-3/Builders_S3_Quiz_Pack.pdf,Builders (Grades 2–3) — Semester 3 · Class Pet Care Guide — Quiz Pack,4,Letter Portrait,77675,25279d962f87a879
02_Builders_Gr2-3/Builders_S3_Student_Workbook.pdf,Builders (Grades 2–3) — Semester 3 · Class Pet Care Guide — Student Workbook,7,Letter Portrait,83811,9e1186cfe0434606
02_Builders_Gr2-3/Builders_S4_Assessment_Sheet.pdf,Builders (Grades 2–3) — Semester 4 · Save the Bees Awareness Site — Assessment Sheet,2,Letter Landscape,68907,88bdf89476c2158a
02_Builders_Gr2-3/Builders_S4_Quiz_Pack.pdf,Builders (Grades 2–3) — Semester 4 · Save the Bees Awareness Site — Quiz Pack,4,Letter Portrait,77609,c8222bf1352a2686
02_Builders_Gr2-3/Builders_S4_Student_Workbook.pdf,Builders (Grades 2–3) — Semester 4 · Save the Bees Awareness Site — Student Workbook,7,Letter Portrait,79361,b94030cb1fad7e46
03_Developers_Gr4-5/Developers_Capstone_Assessment_Sheet.pdf,Developers (Grades 4–5) — Capstone · Problem-Solver App — Assessment Sheet,2,Letter Landscape,68704,c56b21ab5306b21a
03_Developers_Gr4-5/Developers_Capstone_Quiz_Pack.pdf,Developers (Grades 4–5) — Capstone · Problem-Solver App — Quiz Pack,4,Letter Portrait,77463,a2569e14bf13fed1
03_Developers_Gr4-5/Developers_Capstone_Student_Workbook.pdf,Developers (Grades 4–5) — Capstone · Problem-Solver App — Student Workbook,7,Letter Portrait,84051,12072325edda73c4
03_Developers_Gr4-5/Developers_Curriculum_Guide.pdf,Developers (Grades 4–5) — Curriculum Guide (Teacher Edition),14,Letter Portrait,123423,b03dd32147ddb68a
03_Developers_Gr4-5/Developers_S1_Assessment_Sheet.pdf,Developers (Grades 4–5) — Semester 1 · Homework Timer & Focus Tool — Assessment Sheet,2,Letter Landscape,68700,cffdbfcaaba02679
03_Developers_Gr4-5/Developers_S1_Quiz_Pack.pdf,Developers (Grades 4–5) — Semester 1 · Homework Timer & Focus Tool — Quiz Pack,4,Letter Portrait,82300,e77b96e6de64bf05
03_Developers_Gr4-5/Developers_S1_Student_Workbook.pdf,Developers (Grades 4–5) — Semester 1 · Homework Timer & Focus Tool — Student Workbook,7,Letter Portrait,85652,eb6d93617afe0c25
03_Developers_Gr4-5/Developers_S2_Assessment_Sheet.pdf,Developers (Grades 4–5) — Semester 2 · Healthy Snack Calculator — Assessment Sheet,2,Letter Landscape,68507,5ac318db00c0afc9
03_Developers_Gr4-5/Developers_S2_Quiz_Pack.pdf,Developers (Grades 4–5) — Semester 2 · Healthy Snack Calculator — Quiz Pack,4,Letter Portrait,80787,646b6c22a84d5323
03_Developers_Gr4-5/Developers_S2_Student_Workbook.pdf,Developers (Grades 4–5) — Semester 2 · Healthy Snack Calculator — Student Workbook,7,Letter Portrait,84171,c786701bfb5992df
03_Developers_Gr4-5/Developers_S3_Assessment_Sheet.pdf,Developers (Grades 4–5) — Semester 3 · Fact or Fake? Media-Literacy Quiz — Assessment Sheet,2,Letter Landscape,68958,a3baaeb7a0a028cb
03_Developers_Gr4-5/Developers_S3_Quiz_Pack.pdf,Developers (Grades 4–5) — Semester 3 · Fact or Fake? Media-Literacy Quiz — Quiz Pack,4,Letter Portrait,81168,848913cc96b7cf46
03_Developers_Gr4-5/Developers_S3_Student_Workbook.pdf,Developers (Grades 4–5) — Semester 3 · Fact or Fake? Media-Literacy Quiz — Student Workbook,7,Letter Portrait,84296,97bcbfa3c3585efc
03_Developers_Gr4-5/Developers_S4_Assessment_Sheet.pdf,Developers (Grades 4–5) — Semester 4 · Budget Buddy — Assessment Sheet,2,Letter Landscape,68621,7b09542815a1d20e
03_Developers_Gr4-5/Developers_S4_Quiz_Pack.pdf,Developers (Grades 4–5) — Semester 4 · Budget Buddy — Quiz Pack,4,Letter Portrait,80097,55a95a7a98d2bf5d
03_Developers_Gr4-5/Developers_S4_Student_Workbook.pdf,Developers (Grades 4–5) — Semester 4 · Budget Buddy — Student Workbook,7,Letter Portrait,83449,aa6631bc05a7c2c1
04_Engineers_Gr6-8/Engineers_Capstone_Assessment_Sheet.pdf,Engineers (Grades 6–8) — Capstone · Innovation Challenge (SDG Prototype + Pitch) — Assessment Sheet,2,Letter Landscape,69127,3face9aebe71beaf
04_Engineers_Gr6-8/Engineers_Capstone_Quiz_Pack.pdf,Engineers (Grades 6–8) — Capstone · Innovation Challenge (SDG Prototype + Pitch) — Quiz Pack,4,Letter Portrait,78092,8c8d949a8226cf87
04_Engineers_Gr6-8/Engineers_Capstone_Student_Workbook.pdf,Engineers (Grades 6–8) — Capstone · Innovation Challenge (SDG Prototype + Pitch) — Student Workbook,7,Letter Portrait,83665,647b012159876ea6
